sci_name,animal,toxic
Hippeastrum spp.,horse,TRUE
Caesalpinia pulcherrima,cat,TRUE
Caesalpinia pulcherrima,dog,TRUE
Caesalpinia pulcherrima,horse,TRUE
Poinciana gilliesii,cat,TRUE
Poinciana gilliesii,dog,TRUE
Poinciana gilliesii,horse,TRUE
Gerbera jamesonii,cat,FALSE
Gerbera jamesonii,dog,FALSE
Gerbera jamesonii,horse,FALSE
Centaurea solstitialis,cat,TRUE
Centaurea solstitialis,dog,TRUE
Centaurea solstitialis,horse,TRUE
Melia azedarach,cat,TRUE
Melia azedarach,dog,TRUE
Melia azedarach,horse,TRUE
Beta vulgaris,cat,FALSE
Beta vulgaris,dog,FALSE
Beta vulgaris,horse,FALSE
Begonia spp.,cat,TRUE
Begonia spp.,dog,TRUE
Begonia spp.,horse,TRUE
Cissus dicolor,cat,FALSE
Cissus dicolor,dog,FALSE
Cissus dicolor,horse,TRUE
Pellionia daveauana,cat,FALSE
Pellionia daveauana,dog,FALSE
Pellionia daveauana,horse,TRUE
Howea belmoreana,cat,FALSE
Howea belmoreana,dog,FALSE
Howea belmoreana,horse,TRUE
Citrus Aurantium,cat,TRUE
Citrus Aurantium,dog,TRUE
Citrus Aurantium,horse,TRUE
Carya laciniosa,cat,FALSE
Carya laciniosa,dog,FALSE
Carya laciniosa,horse,FALSE
Carya laciniosa,cat,FALSE
Carya laciniosa,dog,FALSE
Carya laciniosa,horse,FALSE
Caesalpinia gilliesii,cat,TRUE
Caesalpinia gilliesii,dog,TRUE
Caesalpinia gilliesii,horse,TRUE
Poinciana gilliesii,cat,TRUE
Poinciana gilliesii,dog,TRUE
Poinciana gilliesii,horse,TRUE
Strelitzia reginae,cat,TRUE
Strelitzia reginae,dog,TRUE
Strelitzia reginae,horse,TRUE
Strelitzia reginae,cat,TRUE
Strelitzia reginae,dog,TRUE
Strelitzia reginae,horse,TRUE
Ammi majus,cat,TRUE
Ammi majus,dog,TRUE
Ammi majus,horse,TRUE
Carya aquatica,cat,FALSE
Carya aquatica,dog,FALSE
Carya aquatica,horse,FALSE
Apocynum androsaemifolium,cat,TRUE
Apocynum androsaemifolium,dog,TRUE
Apocynum androsaemifolium,horse,TRUE
Carya cordiformis,cat,FALSE
Carya cordiformis,dog,FALSE
Carya cordiformis,horse,FALSE
Arum palestinum,cat,TRUE
Arum palestinum,dog,TRUE
Arum palestinum,horse,TRUE
Viburnum lentago,cat,FALSE
Viburnum lentago,dog,FALSE
Viburnum lentago,horse,FALSE
